[WARNING] 2025-09-09 06:01:57,845 basehttp "POST /api/campaigns/ HTTP/1.1" 400 41
[INFO] 2025-09-09 06:14:43,705 views User logged in: hemy7egr
[INFO] 2025-09-09 06:14:43,874 basehttp "POST /api/auth/login/ HTTP/1.1" 200 314
[INFO] 2025-09-09 06:14:44,045 basehttp "POST /api/validate-file/ HTTP/1.1" 200 218
[INFO] 2025-09-09 06:14:44,592 views Campaign created: 1, processing file: 1
[INFO] 2025-09-09 06:14:44,615 basehttp "POST /api/campaigns/ HTTP/1.1" 201 695
[INFO] 2025-09-09 06:14:44,643 basehttp "GET /api/campaigns/1/ HTTP/1.1" 200 620
[INFO] 2025-09-09 06:14:44,666 basehttp "GET /api/campaigns/ HTTP/1.1" 200 288
[INFO] 2025-09-09 06:14:44,685 basehttp "GET /api/stats/ HTTP/1.1" 200 210
[WARNING] 2025-09-09 06:14:47,709 log Bad Request: /api/campaigns/1/start/
[WARNING] 2025-09-09 06:14:47,710 basehttp "POST /api/campaigns/1/start/ HTTP/1.1" 400 68
[INFO] 2025-09-09 06:14:47,733 basehttp "GET /api/campaigns/1/messages/ HTTP/1.1" 200 52
[INFO] 2025-09-09 06:14:47,763 basehttp "GET /api/campaigns/1/statistics/ HTTP/1.1" 200 312
[WARNING] 2025-09-09 06:14:47,777 log Bad Request: /api/campaigns/1/pause/
[WARNING] 2025-09-09 06:14:47,777 basehttp "POST /api/campaigns/1/pause/ HTTP/1.1" 400 60
[INFO] 2025-09-09 06:15:12,413 basehttp "GET /admin/campaigns/campaign/ HTTP/1.1" 200 14487
[INFO] 2025-09-09 06:15:12,451 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
[INFO] 2025-09-09 11:19:43,717 basehttp "POST /admin/logout/ HTTP/1.1" 200 3576
[INFO] 2025-09-09 11:19:43,959 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
[INFO] 2025-09-09 11:19:43,960 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
[INFO] 2025-09-09 11:19:43,986 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
[INFO] 2025-09-09 11:19:44,056 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 21207
[INFO] 2025-09-09 11:19:44,056 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 18533
[INFO] 2025-09-09 11:19:44,113 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
[WARNING] 2025-09-09 11:19:44,228 log Not Found: /favicon.ico
[INFO] 2025-09-09 12:08:12,253 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-09 12:19:02,890 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-09 12:19:33,443 autoreload /home/sohan/whatsapp-campaign/campaigns/webhook_handler.py changed, reloading.
[INFO] 2025-09-09 12:19:34,049 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-09 12:20:20,043 autoreload /home/sohan/whatsapp-campaign/whatsapp_campaign/settings.py changed, reloading.
[INFO] 2025-09-09 12:22:17,366 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-09 12:22:40,185 autoreload /home/sohan/whatsapp-campaign/whatsapp_campaign/settings.py changed, reloading.
[INFO] 2025-09-09 12:22:40,973 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-09 16:28:01,701 autoreload /home/sohan/whatsapp-campaign/whatsapp_campaign/settings.py changed, reloading.
[INFO] 2025-09-09 16:28:22,523 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-09 17:00:59,837 autoreload /home/sohan/whatsapp-campaign/campaigns/webhook_handler.py changed, reloading.
[INFO] 2025-09-09 17:01:00,424 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-09 17:01:39,165 autoreload /home/sohan/whatsapp-campaign/campaigns/tasks.py changed, reloading.
[INFO] 2025-09-09 17:01:39,890 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-09 17:01:47,767 autoreload /home/sohan/whatsapp-campaign/campaigns/webhook_handler.py changed, reloading.
[INFO] 2025-09-09 17:01:48,372 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-09 17:03:38,389 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-09 17:05:04,184 autoreload /home/sohan/whatsapp-campaign/campaigns/tasks.py changed, reloading.
[INFO] 2025-09-09 17:05:04,954 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-09 17:06:28,682 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-09 17:07:19,422 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-09 17:13:09,876 autoreload /home/sohan/whatsapp-campaign/campaigns/views.py changed, reloading.
[INFO] 2025-09-09 17:13:10,467 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-09 17:31:41,710 basehttp "GET /admin/ HTTP/1.1" 302 0
[INFO] 2025-09-09 17:31:42,009 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
[INFO] 2025-09-09 17:31:42,337 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
[INFO] 2025-09-09 17:31:42,338 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
[INFO] 2025-09-09 17:31:42,340 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 958
[INFO] 2025-09-09 17:31:42,351 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 21207
[INFO] 2025-09-09 17:31:42,352 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 18533
[WARNING] 2025-09-09 17:31:42,618 log Not Found: /favicon.ico
[INFO] 2025-09-09 17:32:25,401 views User logged in: campaign_user
[INFO] 2025-09-09 17:32:26,022 basehttp "POST /api/auth/login/ HTTP/1.1" 200 307
[INFO] 2025-09-09 17:32:26,132 basehttp "GET /api/auth/user/ HTTP/1.1" 200 227
[INFO] 2025-09-09 17:34:01,628 views User logged in: campaign_user
[INFO] 2025-09-09 17:34:01,956 basehttp "POST /api/auth/login/ HTTP/1.1" 200 307
[INFO] 2025-09-09 17:34:02,115 basehttp "GET /api/auth/user/ HTTP/1.1" 200 227
[INFO] 2025-09-10 03:30:52,518 autoreload Watching for file changes with StatReloader
[INFO] 2025-09-10 04:04:24,737 basehttp "GET /admin/ HTTP/1.1" 302 0
[INFO] 2025-09-10 04:04:25,028 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
[INFO] 2025-09-10 04:04:25,154 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
[INFO] 2025-09-10 04:04:25,173 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
[INFO] 2025-09-10 04:04:25,218 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
[INFO] 2025-09-10 04:04:25,219 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 21207
[INFO] 2025-09-10 04:04:25,219 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 958
[INFO] 2025-09-10 04:04:25,221 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
[INFO] 2025-09-10 04:04:25,225 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 18533
[WARNING] 2025-09-10 04:04:25,427 log Not Found: /favicon.ico
[WARNING] 2025-09-10 04:04:25,428 basehttp "GET /favicon.ico HTTP/1.1" 404 2587
[INFO] 2025-09-10 04:04:48,534 views User logged in: campaign_user
[INFO] 2025-09-10 04:04:48,776 basehttp "POST /api/auth/login/ HTTP/1.1" 200 307
[INFO] 2025-09-10 06:00:40,250 basehttp "POST /api/validate-file/ HTTP/1.1" 200 218
[INFO] 2025-09-10 06:17:50,424 views User logged in: campaign_user
[INFO] 2025-09-10 06:17:50,543 basehttp "POST /api/auth/login/ HTTP/1.1" 200 307
[INFO] 2025-09-10 06:18:03,673 basehttp "POST /api/validate-file/ HTTP/1.1" 200 218
[INFO] 2025-09-10 06:18:54,747 basehttp "GET /api/campaigns/ HTTP/1.1" 200 52
[INFO] 2025-09-10 06:19:05,594 basehttp "GET /api/campaigns/ HTTP/1.1" 200 52
[INFO] 2025-09-10 06:19:20,658 basehttp "GET /api/campaigns/ HTTP/1.1" 200 52
[INFO] 2025-09-10 06:22:59,552 views User logged in: campaign_user
[INFO] 2025-09-10 06:22:59,688 basehttp "POST /api/auth/login/ HTTP/1.1" 200 307
[INFO] 2025-09-10 06:23:07,670 basehttp "GET /api/campaigns/ HTTP/1.1" 200 52
[INFO] 2025-09-10 06:23:11,353 basehttp "GET /api/campaigns/ HTTP/1.1" 200 52
[INFO] 2025-09-10 06:24:05,212 basehttp "POST /api/validate-file/ HTTP/1.1" 200 218
[INFO] 2025-09-10 08:10:22,801 views User logged in: campaign_user
[INFO] 2025-09-10 08:10:22,930 basehttp "POST /api/auth/login/ HTTP/1.1" 200 307
[INFO] 2025-09-10 08:10:47,810 basehttp "POST /api/validate-file/ HTTP/1.1" 200 218
[INFO] 2025-09-10 08:11:02,832 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[INFO] 2025-09-10 08:11:03,007 basehttp "GET /admin/ HTTP/1.1" 200 9524
[INFO] 2025-09-10 08:11:03,094 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
[INFO] 2025-09-10 08:11:03,096 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
[INFO] 2025-09-10 08:11:03,096 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
[INFO] 2025-09-10 08:11:03,100 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
[INFO] 2025-09-10 08:11:03,100 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
[INFO] 2025-09-10 08:11:03,100 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
[INFO] 2025-09-10 08:11:03,107 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
[INFO] 2025-09-10 08:11:03,208 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[INFO] 2025-09-10 08:11:03,208 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[INFO] 2025-09-10 08:11:07,768 basehttp "GET /admin/campaigns/uploadedfile/ HTTP/1.1" 200 14655
[INFO] 2025-09-10 08:11:07,819 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6566
[INFO] 2025-09-10 08:11:07,838 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
[INFO] 2025-09-10 08:11:07,840 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8943
[INFO] 2025-09-10 08:11:07,841 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
